Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
,,,HEIGHT,Height,,Misc,Numeric,,,,TRUE,,,,,,,
2e1b2486-9fa6-4b23-921e-583f67541731,,,Assessment and Plan,,,Misc,Text,,,,,,,,,,,
9d59ae86-abe2-4f24-a2fc-f1db2db6287b,,,Allergies,Allergies,,Misc,Text,,,,,,,,,,,
0ace7699-f997-42fd-8e2e-1415d5a07c3b,,,Application,Application,,Misc,N/A,,,,,,,,,,,
e6727dc7-967d-4bf6-9caf-af8a4997a62d,,,Packet,Packet,,Misc,N/A,,,,,,,,,,,
144dd787-a13f-437d-b6c7-9a7d4cf3bc56,,,Dose,Dose,,Misc,N/A,,,,,,,,,,,
f36097e7-7d66-4196-8d95-6b66f31435cc,,,See comments,See comments,,Misc,N/A,,,,,,,,,,,
9d5b708e-3f10-11e4-adec-0800271c1b75,,,Dosing Units,dosing units,,Misc,N/A,,,Capsule(s); Tablet(s); ml; mg; IU; Drop; Tablespoon; Teaspoon; Unit(s); Puff(s); Application; Packet; Dose; See comments,,,,,,,,
0de96a2d-5c2c-4110-9770-914369de1713,,,Opthalmic,Opthalmic,,Misc,N/A,,,,,,,,,,,
99cbeb1b-621c-4645-a600-d702364d9885,,,Otic,Otic,,Misc,N/A,,,,,,,,,,,
9d6c9153-3f10-11e4-adec-0800271c1b75,,,Intravaginal,Intravaginal,,Misc,N/A,,,,,,,,,,,
9d697972-3f10-11e4-adec-0800271c1b75,,,Drug Routes,drug routes,,Misc,N/A,,,Oral; Topical; Inhalation; Intramuscular; Intravenous; Intravaginal; Opthalmic; Otic; See comments; ,,,,,,,,
9d77abd7-3f10-11e4-adec-0800271c1b75,,,Daily,OD,,Frequency,N/A,,,,,,,,,,,
334ce904-8a92-11e4-977f-0800271c1b75,,,Q4H,Q4H,,Frequency,N/A,,,,,,,,,,,
334dbd41-8a92-11e4-977f-0800271c1b75,,,Q6H,Q6H,,Frequency,N/A,,,,,,,,,,,
334ea16c-8a92-11e4-977f-0800271c1b75,,,Q8H,Q8H,,Frequency,N/A,,,,,,,,,,,
334f851c-8a92-11e4-977f-0800271c1b75,,,Q12H,Q12H,,Frequency,N/A,,,,,,,,,,,
335071ea-8a92-11e4-977f-0800271c1b75,,,Q48H,Q48H,,Frequency,N/A,,,,,,,,,,,
33516e22-8a92-11e4-977f-0800271c1b75,,,Weekly,Weekly,,Frequency,N/A,,,,,,,,,,,
33516e22-8a92-11e4-977f-0800271c1b75,TRUE,,,,,,,,,,,,,,,,,
9d8e6918-3f10-11e4-adec-0800271c1b75,,,Now,STAT,,Frequency,N/A,,,,,,,,,,,
2a148983-c143-4649-b4be-f8845c934ec0,,,Nightly ,Nightly ,,Frequency,N/A,,,,,,,,,,,
c393fd1d-3f10-11e4-adec-0800271c1b75,,,History and Examination,History and Examination,,Misc,N/A,,,Chief Complaint Data; History Notes; Allergies; Smoking History; Examination Notes; Assessment and Plan; Consultation Images,,,,,,,,
b3dac224-fdea-11e4-b248-005056820298,,,All Orderables,All Orderables,,ConvSet,N/A,,,Lab Samples;,,,,,,,,